name,id
Karen Grace Anchor/Reporter,105397849483316
Karen Hepp FOX 29,203687236333969
Karen Jordan ABC7,204577406349060
Karen Minton,1444815025820758
Karen Rogers,103303414848
Karin McCay KCBD,221771017874468
Karla Ray,113552565466020
Kate Bartley WHIO-TV,1424634594427100
Kate Bilo,174249719295238
Kate Bolduan,515278415228587
Kate Chappell News,276096809165625
Kate Garner,520973241255935
Kate Northrup,114841785205037
Kate Sullivan,196144307100269
Katherine  Whaley,791254384258807
Kathi Goertzen KOMO,177961572245148
Kathleen Bade,434017533365104
"Kathryn Janicek - Media Coach, Public Speaking Trainer & TV Producer",249737615054432
Kathy Brock ABC7,262232547226961
Kathy Mykleby WISN 12,919653588104651
Kathy Sabine,166153370104541
Katie Corrado,908054722545438
Katie Ferrell,1464485327206087
Katie Kim,339570709559307
Katie McCall,822020134494162
Katie Pavlich,397203986977678
